Wind_turbine_name,Ws_avg,P_avg
R80721,5.62,255.93
R80721,5.7600002,259.94
R80721,6.96,517.84
R80721,4.74,86.81
R80721,4.5500002,79.080002
R80721,5.9,278.98
R80721,5.5100002,224.24001
R80721,5.75,249.75
R80721,6.1999998,268.73001
R80721,6.52,455.87
R80721,6.32,403.82
R80721,1.29,-1.33
R80721,6.34,410.18
R80721,4.6999998,104.86
R80721,6.2,384.98
R80721,7.4200001,734.40997
R80721,5.93,331.44
R80721,8.1199999,736.65002
R80721,5.5600000000000005,269.15
R80721,5.54,171.44
R80721,0.0,-1.0599999
R80721,5.52,258.31
R80721,0.0,-0.87
R80721,2.8399999,-1.92
R80721,5.3600001,158.99001
R80721,5.8899999,208.86
R80721,6.2800002,375.79999
R80721,4.6599998,99.150002
R80721,5.5100002,237.10001
R80721,4.1900001,65.169998
R80721,4.6700001,129.94
R80721,4.4699998,82.940002
R80721,4.0700002,-1.4400001
R80721,4.6799998,114.01
R80721,1.51,-1.96
R80721,1.96,-2.9200001
R80721,3.74,13.94
R80721,4.9299998,138.39999
R80721,2.75,-3.9200001
R80721,2.9100001,-3.4400001
R80721,6.5500002,429.26999
R80721,5.5100002,231.64999
R80721,1.39,-1.24
R80721,0.17,-0.81999999
R80721,5.0500002,165.5
R80721,4.5100002,134.34
R80721,8.8199997,1005.25
R80721,8.4799995,831.28998
R80721,5.0,107.41
R80721,5.5700002,178.21001
R80721,6.6999998,592.83002
R80721,5.0700002,149.25999
R80721,3.27,22.67
R80721,5.4200001,211.8
R80721,6.1700001,359.48999
R80721,5.9499998,347.75
R80721,7.5,769.22998
R80721,6.6399999,419.07999
R80721,7.6100001,646.02002
R80721,9.8599997,1230.95
R80721,5.02,134.05
R80721,5.71,269.26001
R80721,0.0,0.0
R80721,2.7,0.0
R80721,2.65,0.0
R80721,2.75,0.0
R80721,2.69,0.0
R80721,2.83,0.0
R80721,3.0,0.0
R80721,4.24,39.19
R80721,4.72,94.85
R80721,5.17,132.04
R80721,4.72,85.86
R80721,5.15,89.16
R80721,4.08,43.37
R80721,3.72,25.58
R80721,2.27,0.0
R80721,2.2,0.0
R80721,2.79,0.0
R80721,3.13,0.0
R80721,2.07,0.0
R80721,1.21,0.0
R80721,1.83,0.0
R80721,2.21,0.0
R80721,0.09,0.0
R80721,1.67,0.0
R80721,2.75,0.0
R80721,2.67,0.0
R80721,2.85,0.0
R80721,5.48,208.87
R80721,4.6,76.97
R80721,4.8100000000000005,99.02
R80721,4.96,109.58
R80721,4.5600000000000005,83.49
R80721,4.33,57.57
R80721,3.39,0.0
R80721,3.18,0.0
R80721,4.76,73.47
R80721,4.06,23.27
R80721,5.15,116.86
R80721,5.06,112.19
R80721,5.66,204.09
R80721,4.82,64.49
R80721,6.17,231.53
R80721,5.8100000000000005,252.65
R80721,6.64,409.15
R80721,6.08,238.78
R80721,10.01,1417.63
R80721,6.17,278.28
R80721,5.8,149.56
R80721,4.34,51.6
R80721,4.85,76.56
R80721,4.46,62.21
R80721,4.46,64.94
R80721,3.1,0.0
R80721,9.8500004,1548.53
R80721,10.04,1292.22
R80721,10.29,1534.3101
R80721,6.0300002,318.92001
R80721,6.4499998,534.77002
R80721,5.8800001,327.45001
R80721,6.1300001,341.48999
R80721,6.1399999,366.48001
R80721,6.6199999,436.03
R80721,6.6599998,571.82001
R80721,4.27,40.119999
R80721,5.8800001,179.59
R80721,15.52,1992.4301
R80721,5.6799998,306.51001
R80721,3.01,6.21
R80721,7.4299998,723.03998
R80721,11.82,1749.84
R80721,4.52,56.849998
R80721,4.71,87.709999
R80721,4.8000002,125.63
R80721,6.3600001,486.12
R80721,5.4099998,153.55
R80721,4.0100002,-7.29
R80721,4.9099998,104.39
R80721,2.78,-1.36
R80721,4.77,61.580002
R80721,4.8200002,115.85
R80721,3.74,17.42
R80721,4.1199999,27.51
R80721,2.1300001,-2.9400001
R80721,4.7600002,98.599998
R80721,5.1199999,162.14
R80721,0.0,-0.94999999
R80721,2.2,-1.45
R80721,4.9099998,106.62
R80721,6.5999999,481.73999
R80721,6.52,455.0
R80721,6.4899998,461.63
R80721,5.1399999,119.33
R80721,5.1999998,161.88
R80721,5.3899999,224.92999
R80721,5.1799998,187.17
R80721,5.1399999,203.64999
R80721,5.6100001,211.92999
R80721,4.6700001,142.42
R80721,9.25,1262.71
R80721,6.71,537.31
R80721,5.6300001,206.91
R80721,6.3800001,523.65002
R80721,5.1500001,181.25999
R80721,0.0,-1.65
R80721,4.7600002,107.58
R80721,2.3299999,-4.1999998
R80721,4.2399998,46.880001
R80721,7.52,736.57001
R80721,4.71,121.22
R80721,7.1700001,707.53998
R80721,6.54,523.46002
R80721,5.3000002,229.67999
R80721,5.9899998,375.47
R80721,4.8499999,108.82
R80721,2.4400001,-1.84
R80721,4.25,74.82
R80721,6.0700002,328.79999
R80721,7.23,758.21997
R80721,2.6500001,-3.1199999
R80721,0.0,-3.1099999
R80721,0.0,-3.3599999
R80721,0.0,-2.0999999
R80721,5.1399999,176.05
R80721,4.9099998,175.14999
R80721,6.0100002,331.10999
R80721,6.5999999,546.87
R80721,4.8200002,123.86
R80721,6.46,401.26001
R80721,7.48,788.31
R80721,6.6599998,619.17999
R80721,3.0999999,-3.98
R80721,0.12,-1.25
R80721,2.97,-1.53
R80721,4.29,45.91
R80721,4.6700001,118.73
R80721,3.1199999,6.9000001
R80721,5.3800001,221.46001
R80721,5.5999999,240.00999
R80721,0.0,-0.81999999
R80721,5.3299999,198.11
R80721,5.0999999,169.8
R80721,1.0,-0.94999999
R80721,4.3299999,92.25
R80721,2.79,-0.74000001
R80721,5.1599998,162.00999
R80721,4.6199999,88.870003
R80721,4.96,142.48
R80721,4.6199999,84.110001
R80721,5.6599998,116.31
R80721,5.0300002,181.22
R80721,5.3299999,192.48
R80721,5.7399998,208.57001
R80721,0.0,-4.6500001
R80721,5.1399999,139.55
R80721,5.3499999,239.8
R80721,6.0599999,313.81
R80721,5.75,246.03999
R80721,5.5300002,250.3
R80721,11.06,1618.1899
